Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_0,Embarked_1,Embarked_2
0,3,1,22.0,1,0,7.25,0,1,0
1,1,0,38.0,1,0,71.2833,0,0,0
1,3,0,26.0,0,0,7.925,0,1,0
1,1,0,35.0,1,0,53.1,0,1,0
0,3,1,35.0,0,0,8.05,0,1,0
0,3,1,56.320362518654086,0,0,8.4583,1,0,0
0,1,1,54.0,0,0,51.8625,0,1,0
0,3,1,2.0,3,1,21.075,0,1,0
1,3,0,27.0,0,2,11.1333,0,1,0
1,2,0,14.0,1,0,30.0708,0,0,0
1,3,0,4.0,1,1,16.7,0,1,0
1,1,0,58.0,0,0,26.55,0,1,0
0,3,1,20.0,0,0,8.05,0,1,0
0,3,1,39.0,1,5,31.275,0,1,0
0,3,0,14.0,0,0,7.8542,0,1,0
1,2,0,55.0,0,0,16.0,0,1,0
0,3,1,2.0,4,1,29.125,1,0,0
1,2,1,1.5441611200054697,0,0,13.0,0,1,0
0,3,0,31.0,1,0,18.0,0,1,0
1,3,0,37.21262760883999,0,0,7.225,0,0,0
0,2,1,35.0,0,0,26.0,0,1,0
1,2,1,34.0,0,0,13.0,0,1,0
1,3,0,15.0,0,0,8.0292,1,0,0
1,1,1,28.0,0,0,35.5,0,1,0
0,3,0,8.0,3,1,21.075,0,1,0
1,3,0,38.0,1,5,31.3875,0,1,0
0,3,1,36.90676411530201,0,0,7.225,0,0,0
0,1,1,19.0,3,2,263.0,0,1,0
1,3,0,15.290449953861089,0,0,7.8792,1,0,0
0,3,1,24.615559302543872,0,0,7.8958,0,1,0
0,1,1,40.0,0,0,27.7208,0,0,0
1,1,0,60.28121737188806,1,0,146.5208,0,0,0
0,1,1,28.0,1,0,82.1708,0,0,0
0,1,1,42.0,1,0,52.0,0,1,0
1,3,1,36.15710087953674,0,0,7.2292,0,0,0
0,3,1,21.0,0,0,8.05,0,1,0
0,3,0,18.0,2,0,18.0,0,1,0
1,3,0,14.0,1,0,11.2417,0,0,0
0,3,0,40.0,1,0,9.475,0,1,0
0,2,0,27.0,1,0,21.0,0,1,0
0,3,1,8.171727881430206,0,0,7.8958,0,0,0
1,2,0,3.0,1,2,41.5792,0,0,0
1,3,0,19.0,0,0,7.8792,1,0,0
0,3,1,31.693828612200967,0,0,8.05,0,1,0
0,3,1,37.001835958398026,1,0,15.5,1,0,0
1,3,0,35.29958482255255,0,0,7.75,1,0,0
0,3,1,28.840451908432755,2,0,21.6792,0,0,0
0,3,0,18.0,1,0,17.8,0,1,0
0,3,1,7.0,4,1,39.6875,0,1,0
0,3,1,21.0,0,0,7.8,0,1,0
1,1,0,49.0,1,0,76.7292,0,0,0
1,2,0,29.0,1,0,26.0,0,1,0
0,1,1,65.0,0,1,61.9792,0,0,0
1,1,1,49.16967515437792,0,0,35.5,0,1,0
1,2,0,21.0,0,0,10.5,0,1,0
0,3,1,28.5,0,0,7.2292,0,0,0
1,2,0,5.0,1,2,27.75,0,1,0
0,3,1,11.0,5,2,46.9,0,1,0
0,3,1,22.0,0,0,7.2292,0,0,0
1,1,0,38.0,0,0,80.0,0,0,1
0,1,1,45.0,1,0,83.475,0,1,0
0,3,1,4.0,3,2,27.9,0,1,0
0,1,1,-6.57126306424507,0,0,27.7208,0,0,0
1,3,1,19.13024409140645,1,1,15.2458,0,0,0
1,2,0,29.0,0,0,10.5,0,1,0
0,3,1,19.0,0,0,8.1583,0,1,0
1,3,0,17.0,4,2,7.925,0,1,0
0,3,1,26.0,2,0,8.6625,0,1,0
0,2,1,32.0,0,0,10.5,0,1,0
0,3,0,16.0,5,2,46.9,0,1,0
0,2,1,21.0,0,0,73.5,0,1,0
0,3,1,26.0,1,0,14.4542,0,0,0
1,3,1,32.0,0,0,56.4958,0,1,0
0,3,1,25.0,0,0,7.65,0,1,0
0,3,1,9.580879869101928,0,0,7.8958,0,1,0
1,2,1,0.83,0,2,29.0,0,1,0
1,3,0,30.0,0,0,12.475,0,1,0
0,3,1,22.0,0,0,9.0,0,1,0
1,3,1,29.0,0,0,9.5,0,1,0
1,3,0,33.563041627904454,0,0,7.7875,1,0,0
0,1,1,28.0,0,0,47.1,0,1,0
1,2,0,17.0,0,0,10.5,0,1,0
1,3,0,33.0,3,0,15.85,0,1,0
0,3,1,16.0,1,3,34.375,0,1,0
0,3,1,15.223940898792518,0,0,8.05,0,1,0
1,1,0,23.0,3,2,263.0,0,1,0
0,3,1,24.0,0,0,8.05,0,1,0
0,3,1,29.0,0,0,8.05,0,1,0
0,3,1,20.0,0,0,7.8542,0,1,0
0,1,1,46.0,1,0,61.175,0,1,0
0,3,1,26.0,1,2,20.575,0,1,0
0,3,1,59.0,0,0,7.25,0,1,0
1,1,1,23.0,0,1,63.3583,0,0,0
1,2,0,34.0,0,1,23.0,0,1,0
0,2,1,34.0,1,0,26.0,0,1,0
0,3,0,28.0,0,0,7.8958,0,1,0
0,3,1,20.92195399688156,0,0,7.8958,0,1,0
0,1,1,21.0,0,1,77.2875,0,1,0
0,3,1,33.0,0,0,8.6542,0,1,0
0,3,1,37.0,2,0,7.925,0,1,0
0,3,1,28.0,0,0,7.8958,0,1,0
1,3,0,21.0,0,0,7.65,0,1,0
1,3,1,25.77363467243306,0,0,7.775,0,1,0
0,3,1,38.0,0,0,7.8958,0,1,0
1,3,0,52.13132617299354,1,0,24.15,1,0,0
0,1,1,47.0,0,0,52.0,0,1,0
0,3,0,14.5,1,0,14.4542,0,0,0
0,3,1,22.0,0,0,8.05,0,1,0
0,3,0,20.0,1,0,9.825,0,1,0
0,3,0,17.0,0,0,14.4583,0,0,0
0,3,1,21.0,0,0,7.925,0,1,0
0,2,1,29.0,1,0,21.0,0,1,0
0,1,1,24.0,0,1,247.5208,0,0,0
0,3,0,2.0,4,2,31.275,0,1,0
0,2,1,21.0,2,0,73.5,0,1,0
0,3,1,32.75266552545955,0,0,8.05,0,1,0
0,2,1,32.5,1,0,30.0708,0,0,0
1,2,0,32.5,0,0,13.0,0,1,0
0,1,1,54.0,0,1,77.2875,0,1,0
1,3,1,12.0,1,0,11.2417,0,0,0
0,3,1,5.108036563918585,0,0,7.75,1,0,0
1,3,1,24.0,0,0,7.1417,0,1,0
1,3,0,39.82958152721551,1,1,22.3583,0,0,0
0,3,1,45.0,0,0,6.975,0,1,0
0,3,1,33.0,0,0,7.8958,0,0,0
0,3,1,20.0,0,0,7.05,0,1,0
0,3,0,47.0,1,0,14.5,0,1,0
1,2,0,29.0,1,0,26.0,0,1,0
0,2,1,25.0,0,0,13.0,0,1,0
0,2,1,23.0,0,0,15.0458,0,0,0
1,1,0,19.0,0,2,26.2833,0,1,0
0,1,1,37.0,1,0,53.1,0,1,0
0,3,1,16.0,0,0,9.2167,0,1,0
0,1,1,24.0,0,0,79.2,0,0,0
0,3,0,25.016243205877263,0,2,15.2458,0,0,0
1,3,0,22.0,0,0,7.75,0,1,0
1,3,0,24.0,1,0,15.85,0,1,0
0,3,1,19.0,0,0,6.75,1,0,0
0,2,1,18.0,0,0,11.5,0,1,0
0,2,1,19.0,1,1,36.75,0,1,0
1,3,1,27.0,0,0,7.7958,0,1,0
0,3,0,9.0,2,2,34.375,0,1,0
0,2,1,36.5,0,2,26.0,0,1,0
0,2,1,42.0,0,0,13.0,0,1,0
0,2,1,51.0,0,0,12.525,0,1,0
1,1,0,22.0,1,0,66.6,0,1,0
0,3,1,55.5,0,0,8.05,0,1,0
0,3,1,40.5,0,2,14.5,0,1,0
0,3,1,49.07971490471042,0,0,7.3125,0,1,0
0,1,1,51.0,0,1,61.3792,0,0,0
1,3,0,16.0,0,0,7.7333,1,0,0
0,3,1,30.0,0,0,8.05,0,1,0
0,3,1,42.84644513550845,0,0,8.6625,0,1,0
0,3,1,44.82884917112789,8,2,69.55,0,1,0
0,3,1,44.0,0,1,16.1,0,1,0
1,2,0,40.0,0,0,15.75,0,1,0
0,3,1,26.0,0,0,7.775,0,1,0
0,3,1,17.0,0,0,8.6625,0,1,0
0,3,1,1.0,4,1,39.6875,0,1,0
1,3,1,9.0,0,2,20.525,0,1,0
1,1,0,31.44112656770661,0,1,55.0,0,1,0
0,3,0,45.0,1,4,27.9,0,1,0
0,1,1,28.980416547608552,0,0,25.925,0,1,0
0,3,1,28.0,0,0,56.4958,0,1,0
0,1,1,61.0,0,0,33.5,0,1,0
0,3,1,4.0,4,1,29.125,1,0,0
1,3,0,1.0,1,1,11.1333,0,1,0
0,3,1,21.0,0,0,7.925,0,1,0
0,1,1,56.0,0,0,30.6958,0,0,0
0,3,1,18.0,1,1,7.8542,0,1,0
0,3,1,29.141482094535256,3,1,25.4667,0,1,0
0,1,0,50.0,0,0,28.7125,0,0,0
0,2,1,30.0,0,0,13.0,0,1,0
0,3,1,36.0,0,0,0.0,0,1,0
0,3,0,34.925228264480026,8,2,69.55,0,1,0
0,2,1,21.438729792004164,0,0,15.05,0,0,0
0,3,1,9.0,4,2,31.3875,0,1,0
1,2,1,1.0,2,1,39.0,0,1,0
1,3,0,4.0,0,2,22.025,0,1,0
0,1,1,17.197705612665942,0,0,50.0,0,1,0
1,3,0,37.13353462259513,1,0,15.5,1,0,0
1,1,1,45.0,0,0,26.55,0,1,0
0,3,1,40.0,1,1,15.5,1,0,0
0,3,1,36.0,0,0,7.8958,0,1,0
1,2,0,32.0,0,0,13.0,0,1,0
0,2,1,19.0,0,0,13.0,0,1,0
1,3,0,19.0,1,0,7.8542,0,1,0
1,2,1,3.0,1,1,26.0,0,1,0
1,1,0,44.0,0,0,27.7208,0,0,0
1,1,0,58.0,0,0,146.5208,0,0,0
0,3,1,53.60444535513416,0,0,7.75,1,0,0
0,3,1,42.0,0,1,8.4042,0,1,0
1,3,0,30.02699705540246,0,0,7.75,1,0,0
0,2,0,24.0,0,0,13.0,0,1,0
0,3,1,28.0,0,0,9.5,0,1,0
0,3,1,28.625563180696048,8,2,69.55,0,1,0
0,3,1,34.0,0,0,6.4958,0,1,0
0,3,1,45.5,0,0,7.225,0,0,0
1,3,1,18.0,0,0,8.05,0,1,0
0,3,0,2.0,0,1,10.4625,0,1,0
0,3,1,32.0,1,0,15.85,0,1,0
1,3,1,26.0,0,0,18.7875,0,0,0
1,3,0,16.0,0,0,7.75,1,0,0
1,1,1,40.0,0,0,31.0,0,0,0
0,3,1,24.0,0,0,7.05,0,1,0
1,2,0,35.0,0,0,21.0,0,1,0
0,3,1,22.0,0,0,7.25,0,1,0
0,2,1,30.0,0,0,13.0,0,1,0
0,3,1,34.29287687724005,1,0,7.75,1,0,0
1,1,0,31.0,1,0,113.275,0,0,0
1,3,0,27.0,0,0,7.925,0,1,0
0,2,1,42.0,1,0,27.0,0,1,0
1,1,0,32.0,0,0,76.2917,0,0,0
0,2,1,30.0,0,0,10.5,0,1,0
1,3,1,16.0,0,0,8.05,0,1,0
0,2,1,27.0,0,0,13.0,0,1,0
0,3,1,51.0,0,0,8.05,0,1,0
0,3,1,52.53278402190407,0,0,7.8958,0,1,0
1,1,1,38.0,1,0,90.0,0,1,0
0,3,1,22.0,0,0,9.35,0,1,0
1,2,1,19.0,0,0,10.5,0,1,0
0,3,1,20.5,0,0,7.25,0,1,0
0,2,1,18.0,0,0,13.0,0,1,0
0,3,0,28.6719752704498,3,1,25.4667,0,1,0
1,1,0,35.0,1,0,83.475,0,1,0
0,3,1,29.0,0,0,7.775,0,1,0
0,2,1,59.0,0,0,13.5,0,1,0
1,3,0,5.0,4,2,31.3875,0,1,0
0,2,1,24.0,0,0,10.5,0,1,0
0,3,0,48.42972624570911,0,0,7.55,0,1,0
0,2,1,44.0,1,0,26.0,0,1,0
1,2,0,8.0,0,2,26.25,0,1,0
0,2,1,19.0,0,0,10.5,0,1,0
0,2,1,33.0,0,0,12.275,0,1,0
0,3,0,38.39251777720412,1,0,14.4542,0,0,0
1,3,0,35.59662120549078,1,0,15.5,1,0,0
0,2,1,29.0,0,0,10.5,0,1,0
0,3,1,22.0,0,0,7.125,0,1,0
0,3,1,30.0,0,0,7.225,0,0,0
0,1,1,44.0,2,0,90.0,1,0,0
0,3,0,25.0,0,0,7.775,0,1,0
1,2,0,24.0,0,2,14.5,0,1,0
1,1,1,37.0,1,1,52.5542,0,1,0
0,2,1,54.0,1,0,26.0,0,1,0
0,3,1,36.301544909416265,0,0,7.25,0,1,0
0,3,0,29.0,1,1,10.4625,0,1,0
0,1,1,62.0,0,0,26.55,0,1,0
0,3,1,30.0,1,0,16.1,0,1,0
0,3,0,41.0,0,2,20.2125,0,1,0
1,3,0,29.0,0,2,15.2458,0,0,0
1,1,0,25.8563182468459,0,0,79.2,0,0,0
1,1,0,30.0,0,0,86.5,0,1,0
1,1,0,35.0,0,0,512.3292,0,0,0
1,2,0,50.0,0,1,26.0,0,1,0
0,3,1,18.563714228544107,0,0,7.75,1,0,0
1,3,1,3.0,4,2,31.3875,0,1,0
0,1,1,52.0,1,1,79.65,0,1,0
0,1,1,40.0,0,0,0.0,0,1,0
0,3,0,37.99912301636279,0,0,7.75,1,0,0
0,2,1,36.0,0,0,10.5,0,1,0
0,3,1,16.0,4,1,39.6875,0,1,0
1,3,1,25.0,1,0,7.775,0,1,0
1,1,0,58.0,0,1,153.4625,0,1,0
1,1,0,35.0,0,0,135.6333,0,1,0
0,1,1,20.20673974501056,0,0,31.0,0,1,0
1,3,1,25.0,0,0,0.0,0,1,0
1,2,0,41.0,0,1,19.5,0,1,0
0,1,1,37.0,0,1,29.7,0,0,0
1,3,0,51.62420575480184,0,0,7.75,1,0,0
1,1,0,63.0,1,0,77.9583,0,1,0
0,3,0,45.0,0,0,7.75,0,1,0
0,2,1,17.173094231751847,0,0,0.0,0,1,0
0,3,1,7.0,4,1,29.125,1,0,0
1,3,0,35.0,1,1,20.25,0,1,0
0,3,1,65.0,0,0,7.75,1,0,0
0,3,1,28.0,0,0,7.8542,0,1,0
0,3,1,16.0,0,0,9.5,0,1,0
1,3,1,19.0,0,0,8.05,0,1,0
0,1,1,27.033388671918267,0,0,26.0,0,1,0
0,3,1,33.0,0,0,8.6625,0,0,0
1,3,1,30.0,0,0,9.5,0,1,0
0,3,1,22.0,0,0,7.8958,0,1,0
1,2,1,42.0,0,0,13.0,0,1,0
1,3,0,22.0,0,0,7.75,1,0,0
1,1,0,26.0,0,0,78.85,0,1,0
1,1,0,19.0,1,0,91.0792,0,0,0
0,2,1,36.0,0,0,12.875,0,0,0
0,3,0,24.0,0,0,8.85,0,1,0
0,3,1,24.0,0,0,7.8958,0,1,0
0,1,1,29.31581257988688,0,0,27.7208,0,0,0
0,3,1,23.5,0,0,7.2292,0,0,0
0,1,0,2.0,1,2,151.55,0,1,0
1,1,1,20.231523874861736,0,0,30.5,0,1,0
1,1,0,50.0,0,1,247.5208,0,0,0
1,3,0,53.87490486833374,0,0,7.75,1,0,0
1,3,1,35.75134949824209,2,0,23.25,1,0,0
0,3,1,19.0,0,0,0.0,0,1,0
1,2,0,7.515967391986582,0,0,12.35,1,0,0
0,3,1,1.3626013579078746,0,0,8.05,0,1,0
1,1,1,0.92,1,2,151.55,0,1,0
1,1,0,6.251513001968984,0,0,110.8833,0,0,0
1,1,0,17.0,1,0,108.9,0,0,0
0,2,1,30.0,1,0,24.0,0,0,0
1,1,0,30.0,0,0,56.9292,0,0,0
1,1,0,24.0,0,0,83.1583,0,0,0
1,1,0,18.0,2,2,262.375,0,0,0
0,2,0,26.0,1,1,26.0,0,1,0
0,3,1,28.0,0,0,7.8958,0,1,0
0,2,1,43.0,1,1,26.25,0,1,0
1,3,0,26.0,0,0,7.8542,0,1,0
1,2,0,24.0,1,0,26.0,0,1,0
0,2,1,54.0,0,0,14.0,0,1,0
1,1,0,31.0,0,2,164.8667,0,1,0
1,1,0,40.0,1,1,134.5,0,0,0
0,3,1,22.0,0,0,7.25,0,1,0
0,3,1,27.0,0,0,7.8958,0,1,0
1,2,0,30.0,0,0,12.35,1,0,0
1,2,0,22.0,1,1,29.0,0,1,0
0,3,1,20.888056562955114,8,2,69.55,0,1,0
1,1,0,36.0,0,0,135.6333,0,0,0
0,3,1,61.0,0,0,6.2375,0,1,0
1,2,0,36.0,0,0,13.0,0,1,0
1,3,0,31.0,1,1,20.525,0,1,0
1,1,0,16.0,0,1,57.9792,0,0,0
1,3,0,28.37020898248846,2,0,23.25,1,0,0
0,1,1,45.5,0,0,28.5,0,1,0
0,1,1,38.0,0,1,153.4625,0,1,0
0,3,1,16.0,2,0,18.0,0,1,0
1,1,0,8.090474488405007,1,0,133.65,0,1,0
0,3,1,16.73008598239743,0,0,7.8958,0,1,0
0,1,1,29.0,1,0,66.6,0,1,0
1,1,0,41.0,0,0,134.5,0,0,0
1,3,1,45.0,0,0,8.05,0,1,0
0,1,1,45.0,0,0,35.5,0,1,0
1,2,1,2.0,1,1,26.0,0,1,0
1,1,0,24.0,3,2,263.0,0,1,0
0,2,1,28.0,0,0,13.0,0,1,0
0,2,1,25.0,0,0,13.0,0,1,0
0,2,1,36.0,0,0,13.0,0,1,0
1,2,0,24.0,0,0,13.0,0,1,0
1,2,0,40.0,0,0,13.0,0,1,0
1,3,0,16.41645857661026,1,0,16.1,0,1,0
1,3,1,3.0,1,1,15.9,0,1,0
0,3,1,42.0,0,0,8.6625,0,1,0
0,3,1,23.0,0,0,9.225,0,1,0
0,1,1,11.461579734149892,0,0,35.0,0,1,0
0,3,1,15.0,1,1,7.2292,0,0,0
0,3,1,25.0,1,0,17.8,0,1,0
0,3,1,30.338896503233407,0,0,7.225,0,0,0
0,3,1,28.0,0,0,9.5,0,1,0
1,1,0,22.0,0,1,55.0,0,1,0
0,2,0,38.0,0,0,13.0,0,1,0
1,3,0,48.68067414859672,0,0,7.8792,1,0,0
1,3,0,48.86613697646816,0,0,7.8792,1,0,0
0,3,1,40.0,1,4,27.9,0,1,0
0,2,1,29.0,1,0,27.7208,0,0,0
0,3,0,45.0,0,1,14.4542,0,0,0
0,3,1,35.0,0,0,7.05,0,1,0
0,3,1,23.45030590406458,1,0,15.5,1,0,0
0,3,1,30.0,0,0,7.25,0,1,0
1,1,0,60.0,1,0,75.25,0,0,0
1,3,0,63.04057049938336,0,0,7.2292,0,0,0
1,3,0,37.49358278692996,0,0,7.75,1,0,0
1,1,0,24.0,0,0,69.3,0,0,0
1,1,1,25.0,1,0,55.4417,0,0,0
0,3,1,18.0,1,0,6.4958,0,1,0
0,3,1,19.0,0,0,8.05,0,1,0
0,1,1,22.0,0,0,135.6333,0,0,0
0,3,0,3.0,3,1,21.075,0,1,0
1,1,0,6.990089555970625,1,0,82.1708,0,0,0
1,3,0,22.0,0,0,7.25,0,1,0
0,1,1,27.0,0,2,211.5,0,0,0
0,3,1,20.0,0,0,4.0125,0,0,0
0,3,1,19.0,0,0,7.775,0,1,0
1,1,0,42.0,0,0,227.525,0,0,0
1,3,0,1.0,0,2,15.7417,0,0,0
0,3,1,32.0,0,0,7.925,0,1,0
1,1,0,35.0,1,0,52.0,0,1,0
0,3,1,30.67645912634542,0,0,7.8958,0,1,0
0,2,1,18.0,0,0,73.5,0,1,0
0,3,1,1.0,5,2,46.9,0,1,0
1,2,0,36.0,0,0,13.0,0,1,0
0,3,1,29.903958815698125,0,0,7.7292,1,0,0
1,2,0,17.0,0,0,12.0,0,0,0
1,1,1,36.0,1,2,120.0,0,1,0
1,3,1,21.0,0,0,7.7958,0,1,0
0,3,1,28.0,2,0,7.925,0,1,0
1,1,0,23.0,1,0,113.275,0,0,0
1,3,0,24.0,0,2,16.7,0,1,0
0,3,1,22.0,0,0,7.7958,0,1,0
0,3,0,31.0,0,0,7.8542,0,1,0
0,2,1,46.0,0,0,26.0,0,1,0
0,2,1,23.0,0,0,10.5,0,1,0
1,2,0,28.0,0,0,12.65,0,1,0
1,3,1,39.0,0,0,7.925,0,1,0
0,3,1,26.0,0,0,8.05,0,1,0
0,3,0,21.0,1,0,9.825,0,1,0
0,3,1,28.0,1,0,15.85,0,1,0
0,3,0,20.0,0,0,8.6625,0,1,0
0,2,1,34.0,1,0,21.0,0,1,0
0,3,1,51.0,0,0,7.75,0,1,0
1,2,1,3.0,1,1,18.75,0,1,0
0,3,1,21.0,0,0,7.775,0,1,0
0,3,0,37.9777414922607,3,1,25.4667,0,1,0
0,3,1,38.25694446669194,0,0,7.8958,0,1,0
0,3,1,32.90767520777721,0,0,6.8583,1,0,0
1,1,0,33.0,1,0,90.0,1,0,0
0,2,1,38.5339188433603,0,0,0.0,0,1,0
1,3,1,44.0,0,0,7.925,0,1,0
0,3,0,43.88881173206102,0,0,8.05,0,1,0
1,2,0,34.0,1,1,32.5,0,1,0
1,2,0,18.0,0,2,13.0,0,1,0
0,2,1,30.0,0,0,13.0,0,1,0
0,3,0,10.0,0,2,24.15,0,1,0
0,3,1,8.933414710330897,0,0,7.8958,0,0,0
0,3,1,21.0,0,0,7.7333,1,0,0
0,3,1,29.0,0,0,7.875,0,1,0
0,3,0,28.0,1,1,14.4,0,1,0
0,3,1,18.0,1,1,20.2125,0,1,0
0,3,1,22.949823436117093,0,0,7.25,0,1,0
1,2,0,28.0,1,0,26.0,0,1,0
1,2,0,19.0,0,0,26.0,0,1,0
0,3,1,24.65259671144315,0,0,7.75,1,0,0
1,3,1,32.0,0,0,8.05,0,1,0
1,1,1,28.0,0,0,26.55,0,1,0
1,3,0,40.84885159872267,1,0,16.1,0,1,0
1,2,0,42.0,1,0,26.0,0,1,0
0,3,1,17.0,0,0,7.125,0,1,0
0,1,1,50.0,1,0,55.9,0,1,0
1,1,0,14.0,1,2,120.0,0,1,0
0,3,0,21.0,2,2,34.375,0,1,0
1,2,0,24.0,2,3,18.75,0,1,0
0,1,1,64.0,1,4,263.0,0,1,0
0,2,1,31.0,0,0,10.5,0,1,0
1,2,0,45.0,1,1,26.25,0,1,0
0,3,1,20.0,0,0,9.5,0,1,0
0,3,1,25.0,1,0,7.775,0,1,0
